Player,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,year,Height,Drafted
Cal Adomitis,LS,Pittsburgh,235,4.97,29.5,18,107,7.53,4.62,01/01/22,74,0
Austin Allen,TE,Nebraska,253,4.83,34,0,121,7,4.26,01/01/22,80,0
Chase Allen,TE,Iowa St.,251,0,33.5,0,117,7.03,4.43,01/01/22,78,0
Christopher Allen,EDGE,Alabama,241,0,0,0,0,0,4.36,01/01/22,76,0
Tyler Allgeier,RB,BYU,224,4.6,33,0,120,0,4.36,01/01/22,71,1
Troy Andersen,LB,Montana St.,243,4.42,36,0,128,0,4.36,01/01/22,76,1
Tycen Anderson,S,Toledo,209,4.36,35.5,0,123,6.64,4.28,01/01/22,74,1
Blaise Andries,OG,Minnesota,308,5.1,30.5,0,106,7.84,4.68,01/01/22,78,0
Matt Araiza,P,San Diego St.,200,4.68,32,0,121,0,4.36,01/01/22,73,1
Jalyn Armour-Davis,CB,Alabama,197,4.39,34.5,14,0,0,4.36,01/01/22,73,1
Brian Asamoah,LB,Oklahoma,226,4.56,36.5,0,124,0,4.36,01/01/22,72,1
Calvin Austin,WR,Memphis,170,4.32,39,0,135,6.65,4.07,01/01/22,68,1
Tyler Badie,RB,Missouri,197,4.45,33.5,0,121,0,4.36,01/01/22,68,1
Kalon Barnes,CB,Baylor,183,4.23,0,0,0,0,4.36,01/01/22,72,1
Amaré Barno,EDGE,Virginia Tech,246,4.36,37,0,131,0,4.45,01/01/22,77,1
Darrian Beavers,LB,Cincinnati,237,0,36.5,0,125,6.91,4.36,01/01/22,76,1
Markquese Bell,S,Florida A&M,212,4.41,36.5,0,123,0,4.46,01/01/22,74,0
David Bell,WR,Purdue,212,4.65,33,0,118,7.14,4.57,01/01/22,73,1
Greg Bell,RB,San Diego St.,201,0,31,17,120,0,4.36,01/01/22,71,0
Daniel Bellinger,TE,San Diego St.,253,4.63,34.5,22,125,7.05,4.47,01/01/22,77,1
Dane Belton,S,Iowa,205,4.43,36.5,0,123,7.01,4.24,01/01/22,73,1
Terrel Bernard,LB,Baylor,224,0,35.5,22,123,7.03,4.25,01/01/22,73,1
Bubba Bolden,S,Miami,209,4.47,0,0,116,0,4.36,01/01/22,74,0
Slade Bolden,WR,Alabama,193,4.66,32,0,116,0,4.36,01/01/22,71,0
Nik Bonitto,EDGE,Oklahoma,248,4.54,35.5,0,120,7.07,4.23,01/01/22,75,1
Thomas Booker,DT,Stanford,301,4.94,0,0,110,7.33,4.41,01/01/22,75,1
Andrew Booth,CB,Clemson,194,0,0,0,0,0,4.36,01/01/22,72,1
Max Borghi,RB,Washington St.,210,0,0,20,0,0,4.36,01/01/22,69,0
Jaquan Brisker,S,Penn St.,199,4.49,34.5,22,124,0,4.36,01/01/22,73,1
Gabe Brkic,K,Oklahoma,197,0,0,0,0,0,4.36,01/01/22,74,0
Kennedy Brooks,RB,Oklahoma,209,4.59,31,0,120,0,4.36,01/01/22,71,0
Ben Brown,C,Mississippi,312,0,0,0,0,0,4.36,01/01/22,77,0
Leddie Brown,RB,West Virginia,213,4.64,30,0,118,0,4.36,01/01/22,72,0
Montaric Brown,CB,Arkansas,196,4.55,0,0,0,0,4.36,01/01/22,72,1
Logan Bruss,OG,Wisconsin,309,5.32,31,0,112,7.57,4.55,01/01/22,77,1
Coby Bryant,CB,Cincinnati,193,4.54,0,17,0,0,4.36,01/01/22,73,1
Spencer Burford,OG,Texas-San Antonio,304,5.19,27.5,0,105,0,4.73,01/01/22,76,1
Treylon Burks,WR,Arkansas,225,4.55,33,0,122,7.28,4.36,01/01/22,74,1
Darien Butler,LB,Arizona St.,221,0,0,0,0,7.47,4.36,01/01/22,70,0
Matthew Butler,DT,Tennessee,297,5,32,17,112,7.89,4.81,01/01/22,76,1
Percy Butler,S,Louisiana,194,4.36,31.5,0,123,0,4.36,01/01/22,72,1
Grant Calcaterra,TE,SMU,241,4.62,0,20,0,0,4.36,01/01/22,76,1
Jake Camarda,P,Georgia,193,4.56,0,0,0,0,4.36,01/01/22,73,1
Chance Campbell,LB,Mississippi,232,4.57,39.5,0,127,0,4.36,01/01/22,74,1
Ja'Tyre Carter,OG,Southern,311,5.13,30,0,108,7.84,4.9,01/01/22,75,1
Zachary Carter,DE,Florida,282,4.99,27.5,19,110,0,4.36,01/01/22,76,1
Tariq Castro-Fields,CB,Penn St.,197,4.38,0,0,0,0,4.36,01/01/22,73,1
Tykevious Chandler,RB,North Carolina,204,4.38,31,0,121,0,4.36,01/01/22,71,1
Leo Chenal,LB,Wisconsin,250,4.53,40.5,0,128,0,4.36,01/01/22,75,1
Lewis Cine,S,Georgia,199,4.37,36.5,0,133,0,4.36,01/01/22,74,1
Damone Clark,LB,LSU,239,4.57,36.5,0,127,7.12,4.36,01/01/22,75,1
Micheal Clemons,DE,Texas A&M,263,0,0,24,116,0,4.36,01/01/22,77,1
Jack Coan,QB,Notre Dame,218,4.9,33,0,115,6.95,4.39,01/01/22,75,0
Qwynnterrio Cole,S,Louisville,206,0,0,16,0,0,4.36,01/01/22,72,0
Snoop Conner,RB,Mississippi,222,4.59,29.5,25,118,0,4.36,01/01/22,70,1
Bryan Cook,S,Cincinnati,206,0,0,0,0,0,4.36,01/01/22,73,1
James Cook,RB,Georgia,199,4.42,33,0,124,0,4.36,01/01/22,71,1
Jashaun Corbin,RB,Florida St.,202,0,0,0,0,0,4.36,01/01/22,71,0
Yusuf Corker,S,Kentucky,203,0,0,23,0,0,4.36,01/01/22,72,0
Matt Corral,QB,Mississippi,212,0,0,0,0,0,4.36,01/01/22,74,1
Charles Cross,OT,Mississippi St.,307,4.95,26,0,112,7.88,4.61,01/01/22,77,1
Nick Cross,S,Maryland,212,4.34,37,0,130,0,4.36,01/01/22,72,1
Dustin Crum,QB,Kent St.,210,4.75,32.5,0,120,0,4.36,01/01/22,73,0
Myron Cunningham,OT,Arkansas,320,5.38,20,0,98,8.5,5.16,01/01/22,77,0
DJ Davidson,DT,Arizona St.,327,0,28,23,0,7.85,4.72,01/01/22,75,1
Jordan Davis,DT,Georgia,341,4.78,32,0,123,0,4.36,01/01/22,78,1
Kalia Davis,DT,Central Florida,302,0,0,0,0,0,4.36,01/01/22,73,1
Tyrion Davis-Price,RB,LSU,211,4.48,30,0,117,0,4.36,01/01/22,72,1
Nakobe Dean,LB,Georgia,229,0,0,0,0,0,4.36,01/01/22,71,1
